Pattern;ID;Instances
[-1, -1, -1, -1, -1, 4];3wny48qw5z;31
[-1, -2, -2, -1, -1, 4];fbhawtjs6s;31
[-2, -1, -2, -2, 2, 2, 3];u7hxljsxz1;31
[-3, 1, 2, 1, 2, 2, 3];18ocqynsw0;31
[1, 1, 1, 1, 1, 2];2tjzpz9ehb;31
[1, 2, 1, 1, 1, 1, 1];owuz444ql0;31
[2, 1, 2, 2, 2, 1, 2, 2];wpa228gdxw;31
[2, 2, 1, 2, 1, 1];rc2wwujzwd;31
[2, 2, 1, 2, 2, 3];kgap7cljue;31
[-1, -1, -1, -2, -2, -1, -2, -2];mtdjer5lyt;30
[-2, -1, -1, -2, -1, -2];pchs54k36a;30
[-2, -2, -1, 1, 2, 2];85g43is1xr;30
[1, -1, 1, -1, 1, -2];kpcfoz8b0q;30
[2, 2, 2, 2, 1, 2];iu2tioh7oy;30
[3, 2, 2, 3, -3, 1];hpxuozlr5h;29
[-1, -1, -1, -1, -2, -1, -2];og35u5wjwc;28
[-2, -1, -3, -1, -2, -2];6zdt65iak3;28
[-2, -2, -1, -1, 2, 2];ey2dwd9zgg;28
[0, 0, 0, 0, 0, 1];9myuoucrkf;28
[1, 2, 2, 1, 2, 2, 2, 1];qc63fftk0f;28
[1, 2, 2, 2, 1, -1];2lq7du2gi3;28
[3, -1, -2, -2, -1, -1];o5y5n7w9wl;28
[-1, -2, -1, -2, -2, -2];yput9cep2o;27
[-1, 1, -1, -1, -1, -1];87zoeme081;27
[-2, -1, -2, -2, -2, -1, -2, -2];49mltp83oo;27
[-2, -2, -1, -2, -2, -2, -1, -2];1yfep2qkfn;27
[-2, -2, 2, 2, 3, 5];bare5ucy7f;27
[-2, 1, 2, 1, 2, 2];ach0q7kalx;27
[-3, 1, 2, -2, -1, -2];6f4ut04loh;27
[2, 2, 1, 2, -3, 1, 2];w6rm5c2rl3;27
[-1, -1, -1, -1, 4, -2];8lovq2pmlm;26
[-2, -1, -2, -2, -1, 3];ulfarpvnqo;26
[-2, -2, -1, -2, -2, 2, 2];7pgpplpjy4;26
[1, -2, -2, -1, -2, -2];ptbu7c6ewq;26
[-1, -1, -1, -1, -1, -1, -2, -1];loqdp7j611;25
[-1, -1, -1, -1, -1, 3];l0fzjmc20e;25
[-1, -2, -1, 3, 3, 3, -1];d4llc0s5ch;25
[-3, -1, -1, -1, -1, -1];i095grngp4;25
[0, -1, -1, -1, -1, -1];iox1iuee6o;25
[-1, -1, -1, -2, -1, -1, -1, -1];dnyfhkmh4q;24
[-1, -2, -1, -2, -2, 2];t4jqe87kvx;24
[-1, 1, 2, 1, 2, 2];96tc1tq8zh;24
[-2, -1, -2, -2, -3, 1];imnswgkzh0;24
[-2, -1, -2, 1, 2, 2];we35hmptwb;24
[-2, -1, 1, 2, 2, 1];w3ejyavomk;24
[-3, -2, -2, 2, 2, 3];dwn8oziehe;24
[2, 1, 2, 2, 1, -1];e58kza0xyt;24
[2, 2, 1, 2, 2, -4];mivsgcslkd;24
[4, -2, -2, -1, -2, -2];91fkhxtb2v;24
[-1, -1, 2, 2, 3, 4];61odsmm1n8;23
[-1, -2, -2, -1, -1, -1, -1];sl04d7xhdf;23
[-1, -2, -2, -1, 3, 3];jtrc3oci0h;23
[-1, -2, -2, -2, -1, -2, -1];83dnnrg92z;23
[-1, -2, 1, 2, 1, 2];c0a95gbjb0;23
[-2, -1, -2, -1, 3, 3, 3];vz6hq972qi;23
[-2, -2, -1, -2, -1, -1, -1];dpb9wmx42u;23
[-2, 2, -2, 2, -2, -2];aqwg0vb0s1;23
[-2, 2, 1, -1, -2, 2];yhu9q50m9o;23
[1, 1, -1, -1, -1, -1, -1];3do71f9x6s;23
[1, 1, -1, 1, -1, 1];70dtwdnxiw;23
[1, 2, 1, 2, 2, -2];x0ecrhxlv0;23
[1, 2, 2, 2, 2, 1];s82pivei5s;23
[2, 1, 2, 2, 1, 2, 2, 2];vzqcw8m8sn;23
[2, 1, 2, 2, 2, 2];9pbjpbs130;23
[2, 2, 1, 2, 1, 2, 2];y20ag9kco6;23
[3, -3, 1, 4, 3, 4];hzpureyer1;23
[3, 2, 2, 1, 2, 2];9qjsq6gf5f;23
[-1, -1, -1, -1, -2, -1, -1];bab3449cwd;22
[-1, 1, 2, 2, 1, 2];69kfuhbpj3;22
[-2, -1, 3, -2, -2, -1];47elc6whnu;22
[-2, -3, -2, -2, -1, -2];d1ddnjgb98;22
[0, 0, 0, 0, 0, 2];b11lazps34;22
[1, -2, -1, -2, -1, -2];bxtxm9xnwc;22
[1, 2, 1, 2, 2, 2, 1];wo5nil90cr;22
[2, 1, 2, 2, -4, -1, -2];9xo4419dkb;22
[2, 1, 2, 2, 2, 3];t2urdf6hxc;22
[-1, -1, -1, -1, -1, 1];f0xecc97ac;21
[-1, -1, -1, -2, -1, -2, -2];qm26zfcrn5;21
[-1, -1, 4, -2, -3, -2];emuutl9ctr;21
[-2, -1, -1, -1, -1, -1, -1, -1];geajmf8kse;21
[-2, -2, -1, 3, 3, 4];ncizqhhxon;21
[-2, 1, 2, 2, 1, 2];b68fcg3a17;21
[-2, 2, 1, 2, 2, 3];yigw2ausos;21
[1, -2, 1, -1, -1, -1, -1];a27wao3mhy;21
[2, 1, 2, 2, 2, 5];znc9excgiu;21
[2, 2, 3, -1, -1, -1];waez8tu3t1;21
[4, -2, -2, -1, -2, -1];m7s5uezj57;21
[-1, -1, 2, -1, -1, -1];fizomutzbf;20
[-1, -1, 4, -2, -2, -1];nmo6q9ysv4;20
[-1, -2, -1, -1, -1, -1, -1, -1];ywrnjds48s;20
[-1, -2, -1, 3, -2, -2];btrq5y9wrq;20
[-2, -1, -2, -2, -2, -2];2cb0hwq7i1;20
[-3, -2, -3, -1, -1, -2];1vr4o8q2ct;20
[0, 0, 0, 0, 0, 0, 1];w8rza02dpo;20
[1, 1, 1, 1, 1, -3];9lqm5a6s5a;20
[1, 2, 2, 2, 1, 2, 1];ujwte10gkr;20
[1, 2, 2, 2, 1, 2, 2, 1];wpmlm9rjib;20
[2, 1, 1, 1, 1, 1, 1];eqv9ojuoty;20
[2, 2, 1, 2, 2, -2];lb5dl89zlj;20
[3, -1, -1, -1, -1, -1];1xwh724qvt;20
[-1, -1, -1, -1, -1, -1, 4];cepimnffu4;19
[-1, -1, -1, 2, 2, 3];ly3jx7sy41;19
[-1, -2, -1, -2, -2, -1, -1];zex7tzjtsb;19
[-2, -1, 1, 4, 3, 2];sh4d6vwisb;19
[-3, 1, 2, 2, 3, 4];8j8r17ssm7;19
[1, -1, -2, -2, -1, -2, -2];oo8aoveill;19
[1, 1, 1, 2, 2, 1];yvr50ftedx;19
[1, 2, 2, 1, 2, -3, 1];nd9640na08;19
[2, -2, -2, -1, -2, -1];6jjipnyhb2;19
[3, 3, 3, -3, 1, 1];nwp5w9chsb;19
[-1, -1, -1, 4, -2, -3];otyzow45vm;18
[-1, 3, 3, 3, -1, -2];p7x4vztwt3;18
[-3, -2, -2, -3, -2, -3];73u4m7r2u6;18
[3, -2, -1, 1, 4, 3];xufi7xeo3q;18
[-1, -2, -1, -2, -2, 2, 2];jqv9qvync0;17
[-2, -1, -2, -2, -3, -2];7rorbxrkaw;17
[-2, -1, -9, 3, 3, -1];ncmsl03owp;17
[-2, -2, -2, -1, -2, -2, 2];6f5bqtqveu;17
[-2, 1, -2, -3, 1, 1];4b09qj4eve;17
[1, 2, 1, 2, 2, 3, -1, -2];mwgjihgebb;17
[2, -2, -1, -2, -1, 3];gi19rfb0wx;17
[2, -2, -2, -1, -2, -2, -2];g1ooi25erf;17
[2, 0, 0, 0, 0, 0, 0];sicb0lhro6;17
[2, 1, 2, -3, -1, -1];6tb29xx387;17
[2, 1, 2, -3, -2, -2];d1weu6fp2b;17
[2, 1, 2, 2, -2, -2, -1, -2];ypuo7sgf90;17
[2, 2, 3, -2, -1, -2];g5lk1m0l3r;17
[2, 2, 3, 2, 3, 2];o5xg6leab5;17
[2, 3, 2, 3, 2, 2];d02kerr6vx;17
[3, 2, 2, 3, -2, -1];8bfm578psd;17
[5, -1, -1, -1, -1, -1];svktcdl9rq;17
[-2, -1, -1, -1, -2, -1, -1];2dxxshx10o;16
[-2, -1, -2, -1, -2, -2, -1];e9fa1fzq8n;16
[-2, -1, -2, -1, -2, 1, 2];bo9gq2vky6;16
[-2, -1, -2, -2, 2, 2, 3, 5];udcfswcpg5;16
[-2, -1, 3, 3, 3, -1, -2];tz2qccj52u;16
[-4, 2, 2, 1, 2, 2];g4ef0yjy4n;16
[0, -2, 2, -2, 2, -2];tmzdtd4bnp;16
[0, 0, 0, 0, 0, 0, 0, 1];te8915h8be;16
[1, 1, -1, -1, -1, -1, -1, -1];ljt0ussqsl;16
[2, 1, 2, 1, -2, 1];v59mpxvjqm;16
[2, 1, 2, 2, -4, 2];0upmp5o1rt;16
[2, 2, 1, 2, 1, 1, 1];xeewlrssyk;16
[2, 3, -3, -2, -2, -3];6gmfvxwy7c;16
[3, 2, 3, 2, 2, 3];y49yt3hs1p;16
[-1, -1, -2, -1, -2, -1, -2];lseca4dcky;15
[-1, -2, -1, -2, 1, 2, 2];7atqiwpcty;15
[-1, -2, -1, -9, 3, 3];pks7t73n6g;15
[-1, 0, 0, 0, 0, 0, 0];ojlm1t4j5e;15
[-2, -1, -1, -1, -1, 2];q5u7i971q2;15
[-2, -1, -1, 4, -5, -2];owbxmt66jc;15
[-2, -1, -2, -1, 3, 3, 3, -1];bg6pew73nu;15
[-2, -1, 9, -3, 1, 1];mr4gs24o8a;15
[-2, -2, -1, 3, 3, 3];gl87p6nymh;15
[-2, -2, 2, 2, 3, 4];j6mcpina5y;15
[-3, 3, 4, -4, 4, 3];ld2ig9n8oj;15
[1, -1, -2, -2, -2, -1, -2];jl0hdojqg6;15
[2, 1, 2, 1, 1, 1, 1, 1];aubtl6fy9a;15
[2, 1, 2, 2, 1, 2, 2, 2, 1];xbgf8v44mv;15
[2, 2, 3, -3, -2, -2];dvtm577n7v;15
[2, 3, 2, 2, 1, 2];z360nel81q;15
[4, -2, -2, -2, -1, -2];za8v3jiz24;15
[-1, -1, -1, -1, 4, -5];bxqo2x9nk1;14
[-1, -1, -1, 1, -1, -1, -1];ob7id64wbh;14
[-1, -2, -2, -1, -2, -1, 3];1ijgpo2o4d;14
[-1, -3, -1, -1, -1, -1];6z9c6yc1av;14
[-1, 1, -1, 1, -1, -1];j4dwcixq1s;14
[-2, -1, -2, 1, 2, 1];ek9s1thyx3;14
[-2, -2, -1, -2, -2, -2, -1, -2, -2];bjma9raxt8;14
[-3, -2, -3, -1, -1, -2, -3];kdeh5jotjs;14
[1, -1, 1, -1, -1, -1];i9pwg1n1ik;14
[2, -2, -1, -2, -2, -1];ufc5c2sp7o;14
[2, 1, 2, 1, 1, -2];3d2fbkxfjx;14
[2, 2, 2, 1, -1, -1];zzvbjbsqgb;14
[2, 2, 2, 2, 1, 2, 1];wvnehtv2n7;14
[3, -2, -2, -1, -2, -1];y87xh73k9y;14
[3, 4, 3, -2, -1, -2];ectg98u8jb;14
[-1, -1, -1, -1, 2, 2, 3];v2hucdfslo;13
[-1, -1, -1, 4, -2, -3, -2];vww20d13gm;13
[-1, -2, -3, 1, 2, 2];ltkf34gaxm;13
[-2, -1, -1, -2, -1, -2, -2];kic8v1yimn;13
[-2, -2, -1, -1, 2, 2, 3];uz66kpr4qb;13
[-2, -2, -3, -2, -3, -2];f9j1e71mcd;13
[-3, -4, -3, 9, -2, -2];5nkncelj54;13
[-3, 1, -2, 1, -1, -1];16eazssl1m;13
[1, 1, 1, 1, 2, 2];ao0699qzwa;13
[1, 2, 1, 2, -3, -2];cbuej05vqy;13
[1, 2, 2, 2, -2, -2];a8qey2oa6f;13
[1, 2, 2, 2, 1, 1, 1];o0fur3g6l3;13
[2, -2, 2, -2, -2, -3];ef89fz7ust;13
[2, 1, 1, 1, 1, 1, 2];09f2m9k5qt;13
[2, 2, -2, -2, 2, 2];wlzslzi280;13
[2, 2, 1, -1, -1, -1];7f1io7h484;13
[2, 2, 2, -2, -2, -2];qe2qcibygj;13
[2, 2, 2, 1, -1, -2];iqbq76glok;13
[2, 2, 2, 1, 2, -3, 1];wyhk61laiu;13
[3, 2, 2, 3, 2, 3];5k35auvwuc;13
[3, 4, -1, -1, -1, -1];r4dwvqu386;13
[4, -4, 4, 3, -3, 3];ixcslfdgo1;13
[-1, -2, -1, -9, 3, 3, -1];bkps013j8d;12
[-2, -1, -2, -1, -2, 1, 2, 2];fw3qsep7kx;12
[-2, -1, 3, 3, 4, -2];kk7as0pqr2;12
[-2, -2, -1, -2, -1, -2, -1];0qm7jth1mi;12
[-2, -2, -2, -1, -2, -2, 2, 2];bt01vzr8c8;12
[-2, 1, 2, 1, 2, 2, 3];segfoc5rsa;12
[-2, 2, -2, -3, 3, -3];i7vcxli3m6;12
[-2, 2, 1, 2, 2, 1];rfwn4hzgze;12
[-3, 2, -2, -2, -2, -1];dz98joowva;12
[1, -1, -2, -2, -3, 1];37yxop4uin;12
[1, 2, 2, 1, 2, 0];8l48ym1tmi;12
[1, 2, 2, 2, 1, 2, 2, 1, 2];fw59li8fie;12
[1, 2, 2, 2, 2, 1, 2];av4a9s9ufn;12
[2, 0, 0, 0, 0, 0, 0, 0];88mg0rxwbc;12
[2, 1, 1, -1, -1, -1, -1];25620ks2h0;12
[2, 1, 1, 1, 1, 1, -3];6y5f6poj8v;12
[2, 2, -1, -1, -1, -1];7ze1h2fasf;12
[2, 2, -2, -2, -1, -1];jzognrdv1d;12
[2, 2, 1, 2, 2, -2, -2];mc7kgazkf5;12
[2, 2, 1, 2, 2, 1, 2, -3];xxt5m0vtm9;12
[2, 2, 1, 2, 2, 1, 2, 2, 2];iwh3uzw3wq;12
[2, 2, 1, 2, 2, 2, 1, 2, 2];2q3pd2hf3k;12
[2, 2, 2, 1, 2, 1, 2];3iw0moz6m8;12
[3, -3, 1, 2, -2, -1];sblza9e4cq;12
[-1, -1, -1, -1, -1, 4, -2];xkahhdo5ui;11
[-1, -2, -2, -1, 3, 3, 4];6ftmo6q05s;11
[-1, -3, -1, -1, -1, -1, -1];lzhv8eam6c;11
[-2, -1, -1, 2, 2, 3, 4];4ygp86t1jl;11
[-2, -1, -2, -1, -9, 3];xwtb03ak4i;11
[-2, -1, 3, 4, 3, -2];hhvqalj7uc;11
[-2, -2, -1, -1, 2, 2, 2];4kbbadsxs8;11
[-2, -2, -2, -1, -2, -1, 3];zarqeooarn;11
[-2, 1, 1, 1, 1, 1];smx2uzgdpf;11
[-3, 1, 4, 3, 4, 1];5vlb8v2lkd;11
[-4, 5, 2, 1, 2, 2];pvlcb1uzpu;11
[0, 2, -2, 2, -2, 2];uhgqsvkg4i;11
[1, -1, -2, 2, 1, -1, -2];yn7un54wwu;11
[1, 1, -2, 1, -1, -1, -1, -1];al7x04lh56;11
[1, 1, 2, 2, 2, 1];os4wyraf2f;11
[1, 2, 1, 1, 3, -3];5vqdbn3ghs;11
[2, 1, 1, 1, 2, 1];sulqpqsqt4;11
[2, 2, -4, 2, 2, 1];o3zgwf6fsu;11
[3, -3, -2, -2, -3, -2];ti7zjodzis;11
[3, 2, 1, 2, 2, 2];a2p467zxm7;11
[4, -2, -2, -1, -1, -1];5pg6m59xtl;11
[-1, -1, -1, -1, -1, 4, -5];5x6oqkfl7a;10
[-1, -2, -1, -2, -1, -2, -2];34y5semfyd;10
[-1, -2, -1, -2, -2, 2, 2, 3];4xrnx1cwtn;10
[-1, -2, -1, -4, 2, 2];orhl94uzj4;10
[-1, -2, -2, -1, -1, 2, 2];zzyz4e7lty;10
[-1, 1, -1, -1, -1, 2];zwil5o23pr;10
[-2, -1, -2, -2, -3, -2, -2];2s37t82rw6;10
[-2, -1, -9, 3, 3, -1, -2];lb3on64555;10
[-2, 1, -1, -1, -1, -2];lr45eeu70z;10
[-3, -2, -1, -1, -1, -1];1h1yxco9j0;10
[-3, 1, -1, -1, -1, -1];6hybym9nid;10
[-3, 1, -2, 1, -1, -1, -1];mizifby78p;10
[1, 2, -1, -1, -1, -1];md5qh7gtk0;10
[1, 2, -2, -2, -1, -2];utscxnqlqj;10
[1, 2, 1, 1, 1, 1, 1, 1];35hshqexyi;10
[1, 2, 1, 2, 2, 2, 2];qjs9vo2er2;10
[1, 2, 2, 2, 1, -1, -2];6kwehzmxjt;10
[1, 2, 2, 2, 3, -1];5qjve7i9op;10
[1, 3, 4, 3, -3, 1];rjl9ytq00t;10
[2, 3, -2, -1, 1, 4];6m4mgps0ob;10
[3, -2, -1, -2, -2, -3];frymksws5v;10
[3, 4, 1, -1, -2, -2];bekgnuj7ih;10
[4, 3, 4, -1, -1, -1];6w3p29b53v;10
[-1, -2, -1, -2, 1, 2, 2, 1, 2];sy1i05pigh;9
[-1, -2, -1, 3, 4, 3];ntf33hb423;9
[-1, -2, -2, -1, 3, 3, 3];p5a57kokzr;9
[-1, 1, 1, -1, -1, 1, 1, -1, -1, 1];ooskoz8id5;9
[-2, -1, -2, -1, -9, 3, 3];qbbimi34u3;9
[-2, -2, -1, -1, 2, 2, 3, 4];yt7r7t8eu7;9
[-2, -2, -1, -2, -1, 3, 3, 3];y1o6rew409;9
[-3, -2, -2, -3, 3, 2];jkal1jlue8;9
[-3, 1, -2, -1, -2, -2];9a6eiqnwez;9
[-3, 1, 1, -4, 1, 1];nr4rrwuje6;9
[0, 0, 0, -2, 2, 0];6q1j9wmpxi;9
[1, -2, 1, -2, 1, 2];72py15can9;9
[1, 1, -1, 1, -1, 1, -1, 1];r2uaukxshx;9
[1, 1, 2, 2, 1, 1];h4q6fn17i8;9
[1, 2, 1, -2, 1, -2];kymzu37iv8;9
[1, 2, 2, 1, 3, 1];fv885v0oc2;9
[2, 1, -1, -1, 2, 1];ot872oj8lr;9
[2, 1, 2, -2, -1, -2, -1];jso2isoeic;9
[2, 2, 3, -3, -2, -2, -3];1tbhyejkr2;9
[2, 2, 3, 2, 1, 2];4g5wbij63q;9
[4, -2, -2, -2, -1, -2, -2];st80bf1lmb;9
[-1, -1, -1, -1, 2, 2, -4, 2];pnyqy3rsvd;8
[-1, -1, -1, 2, 1, 2, -3];6cehoeoq7e;8
[-1, -1, -1, 4, -2, -2];au8si89lsk;8
[-1, -1, -2, -2, -1, -2, -2, -2];naakkoav0k;8
[-1, -1, 4, -2, -2, -1, -2];yebc53gm5h;8
[-1, -1, 4, -2, -4, -3];imwgyokbgl;8
[-1, -2, -1, -9, 3, 3, -1, -2];p8dgczupg2;8
[-1, -2, -2, -2, -2, -3];d2akhdestq;8
[-2, -1, -2, -1, -1, -1, 2];ukkuh3daa0;8
[-2, -1, -2, -1, -2, 1, 2, 2, 1, 2];dm23s7t5bw;8
[-2, -1, -2, -2, -1, 3, 3];29lkpzz1jz;8
[-2, -1, 3, -2, 2, 1, 2];y6iqj90cxa;8
[-2, -3, 2, 1, 2, 2];016bvnpgzz;8
[-3, -2, -2, -1, -1, 2];8385vzr8oz;8
[-4, -1, -1, -1, 2, 1, 2];vl00oljoe9;8
[1, -2, 1, -2, -1, 3];3x4xqci269;8
[1, -2, 1, 1, 1, 1];daloby2gbq;8
[1, 2, -2, -1, -2, -1, 3];xeoxdxkqfo;8
[2, -2, -1, 1, 4, 3];x08537rt6a;8
[2, 1, 2, 2, -2, -3];wdwg4u1m54;8
[2, 1, 2, 2, 1, -1, -1];y5ktycgryo;8
[2, 2, 2, 1, 2, 2, -4];b7fii848pr;8
[2, 2, 2, 3, 2, 1, 2];p38jvgjcgr;8
[2, 2, 3, -1, -2, -1];zc3ekkcy94;8
[3, 4, 3, -2, 2, 2];xcz8zegx27;8
[-1, -1, -1, 4, -2, -4];ijy5kjrtkd;7
[-1, -1, -3, 1, -2, 1];pfh1ef690t;7
[-1, -1, -5, -3, 5, -2];qliaye5loe;7
[-2, -1, -2, -1, -4, 2, 2];7aw0ib2yt0;7
[-2, -1, -4, 2, 2, 1, 2];5lqnwyr6bt;7
[-2, -2, -1, -2, -2, -1, 3, 3];3gollut1gc;7
[-2, -2, -1, 3, 3, 3, -1];16gq8m4u39;7
[-2, -2, -3, -4, -3, 9];idtqjf6ghv;7
[-2, -2, 2, 2, 3, 5, -3];edybpl134w;7
[-2, -3, 1, 2, 2, 1];f2xkg5gutc;7
[-2, 1, -2, -1, 3, 3];5i910q3ukd;7
[-2, 1, 1, 1, 1, 1, 1];08ouedzlvp;7
[-2, 1, 3, 2, 2, 3];67vmk0q57n;7
[-2, 2, -2, -3, 2, -2];pr1c9koj7g;7
[-3, -4, -3, 9, -2, -2, -2];livbcdoe31;7
[-3, 1, -2, 1, -1, -1, -1, -1];to9nam8dzp;7
[-3, 1, 0, -1, -1, -1, -1, -1];k5xv171zhb;7
[-4, -1, -2, 5, -2, -3];csfpv7v6hs;7
[1, 1, -2, -2, -1, -2];8b1aev7pl7;7
[1, 2, -2, -1, -4, -3];do09gqkuqx;7
[1, 2, -2, -1, 1, 4];yil7ikwz7m;7
[10, -1, -5, 3, -2, -1];tq0djk8j8f;7
[2, -4, -1, -2, 5, -1, -1, -1];pr7zptgtof;7
[2, 2, 1, 2, 2, 1, 2, -3, 1];409gtz38wi;7
[2, 2, 2, 1, -2, 1];elivpur9wx;7
[2, 2, 2, 2, 1, 2, 1, 2];q1gbekng4y;7
[2, 3, 2, 3, 2, -2];69a02fsxg0;7
[3, -1, -2, -1, 3, -2];aelo9ddh05;7
[3, -2, -1, -2, -2, -2];b0cntdb691;7
